subject,reading,part_of_speech,definition,explanation,JLPT
あり,あり,exp,"Possibility, To have, With","あり itself is the literary form of the う-Verb 有 る 'to be', and is used in a similar way to なし. However, rather than meaning that something is 'without (A)', it shows that something is 'with (A), amongst other things'. This 'amongst other things' is important, as あり will primarily be used when something is being presented as a single possibility among many possibilities. あり can be and often is used simply as a reply to a statement to indicate agreement, or that the listener thinks that what the speaker is saying is possible. Caution Occasionally, the kanji 在 る may sometimes also be used. Although the difference between these two kanji is slight, 有 り indicates 'inclusiveness as part of a whole', while 在 り focuses more on 'stand-alone existence'.",N3
或るいは,あるいは,,"Or, Possibly, Maybe, Perhaps, Or possibly","あるいは is a construction in Japanese that is used as a 接続語 (conjunction). It usually appears after statements that have been marked with the adverbial particle か. あるいは may be loosely translated as 'possibly', 'maybe', or 'or'. Although usually being treated as a single word, あるいは is actually a combination of the attributive form of 或 る, a verb meaning 'a certain', the suffix character い (used for making い-Adjectives ), and the adverbial particle は. Due to this, the literal meaning of あるいは is just 'another possibility', as it highlights a certain something existing within the same area/category as (A).",N3
あれ,あれ,n,That (over there),"あれ , just like これ and それ , is one of several 'pronoun-like' words in Japanese ( substitute nouns ). あれ translates roughly to 'that' in English. However, unlike それ , あれ is used to highlight things that are away from both the speaker and the listener. Due to this, it is also often translated as 'that over there'. Caution Be careful not to mix up あれ with the common spoken expression あれ, which means 'huh?', or 'oh?'. These are not the same words. The difference will usually be clear from context within a sentence, and the way the word is said. あれ as 'huh?' has a rising tone, and sounds like a question.",N5
良い,いい,adj-na,い-Adjective meaning 'good',"いい is an adjective that means 'good' in Japanese. It can be a little bit difficult to use at first, as it conjugates differently to other い-Adjectives . In these sentences, we can see that the first い in いい changes to よ, depending on the form. This is unique to いい , and does not happen with other adjectives. いい can sometimes be seen as 良 い , in these cases, the kanji is likely to be read as よい, and not いい. There is technically no difference between these two meanings, but よい does sound more formal/old-fashioned. Caution When used as an adverb, よく should not be confused as a conjugation of いい . よく has several possible kanji that it may stem from, and means frequently/often/well.",N5
如何なる,いかなる,,"What kind of, No matter what kind of, No … (with a negative verb), Any... (with a negative verb)","如何 なる is a combination of 如何 , and なる. なる being derived from the classical auxiliary verb なり 'to be'. 如何 is never used as a word by itself, and will always be attached to something else when it has the reading of いか. However, its meaning is the same as the modern どう 'how'. Because of this, いかなる is interchangeable with どんな 'what kind of', with the exception that it is primarily used only in books and formal writing. いかなる is classified as being attributive, meaning that it will appear directly before a noun, or modify a noun somewhere within the same clause. Just like どんな, when に is added to いかなる , a negative statement will usually follow. This translates as 'no matter how much (A)', or 'no matter what kind of (A)'. However, に will not directly follow いかなる like it does with どんな. Instead, it will appear later in the sentence before the verb. Occasionally, いかな may also be used, but this is far less common. Fun Fact Both な and なる are derived from the classical auxiliary verb なり. Structures that stem from なり can be seen in many modern parts of the Japanese language. This also includes なら, the hypothetical form of だ, which shares the same meaning of 'to be' as なり. While な is the form that appears with most adjectival nouns, なる is still sometimes used in place of な when the speaker wants to be poetic, or give a sense of archaism.",N1
いかん〜ず,いかん〜ず,,"Regardless of (whatever … is), Irrespective of (whatever … is)","When the noun いかん 'how', or 'what' is paired with a verb negated with the classical auxiliary verb ず, it will commonly be translated as 'regardless of (A), (B)', or 'irrespective of (A), (B)'. The verbs used for this construction are restricted to 関 わらず 'without relation', によらず 'without approaching', and を 問 わず 'without questioning. いかん〜ず come after a noun followed by the case marking particle の. いかん〜ず is a formal grammar pattern that is used primarily to express that (B) will not be affected by (A), even if it is something that would usually be expected. Because of this, 'without taking (A) into account' is another fairly accurate translation of the nuance.",N1
以下,いか,,"Less than (or equal to), Under・(and) below, Any less・fewer, Not exceeding","In order to mark something as 'equal to, or less than (A)', 以下 will be used. This is simply a combination of the kanji 以 which means 'by means of', and 下 'below'. This expression may also be translated as 'under (A)', or 'fewer than (A)'. To use 以下 , attach it to the amount that you want to highlight as the 'maximum' amount. Similarly to the way that 以上 can be used to mark 'everything up until now', 以下 can and often is used to highlight 'everything after now', 'the rest', or 'the following'.",N4
以外,いがい,,"Except・besides, Other than, With the exception of","In order to mark something as 'except (A)', or 'besides (A)', 以外 will be used. This construction is a combination of the kanji 以 which means 'by means of', and 外 'outside'. This expression can most accurately be translated as 'with the exception of (A)', or 'everything outside of (A)'. To use 以外 , attach it to the thing that you want to highlight as being the 'all inclusive' amount/area. Fun Fact 以外 is also regularly used simply as an expression of surprise, when someone sees, hears, or reads something that is 'outside' of what they expected. However, in these cases, the more correct kanji construction is 意外 'out of mind'. This is a regular mistake that even native speakers make, so in many  cases, either 意外 or 以外 would be understandable.",N4
いきなり,いきなり,,"For no reason, Suddenly, All of a sudden","いきなり , a word appearing almost exclusively in hiragana, is an adverb that conveys the meaning of 'suddenly', 'all of a sudden', or 'for no reason'. いきなり indicates when something happens abruptly, and without any prior warning. As いきなり is an adverb, it will primarily appear at the beginning of sentences, or directly before the verb that it is describing. Fun-fact いきなり comes from 行 き 成 り , but is rarely seen in its kanji form. This original meaning referred to a particular situation's development or unfolding. Due to this, although often being used purely as 'suddenly', it has a similar nuance to English phrases like 'a sudden turn of events'. This just expresses that the way the situation developed was abrupt or unexpected.",N2
いくら～でも,いくら〜でも,,No matter how (much),"In a similar way to どんなに～ても, いくら～でも is regularly translated to 'no matter how (A), (B)'. However, unlike どんな (which is an abbreviation of どのような), いくら is a noun that comes from the kanji 幾 ら, meaning 'how much'. When partnered with ても (with verbs and い-Adjectives ), or でも (with nouns and な-Adjectives ), the literal meaning means 'however much (A), (B)'. With いくら～でも, the (B) part of the phrase will usually highlight something that is being negated, giving the phrase it's 'no matter how much' nuance. Despite this trend of being used in sentences that contain ない or ありません, いくら～でも may also be seen in positive sentences. In these cases, despite not being negative, the (B) phrase will still be something that is surprising/unexpected in some way (due to its extent or amount). Fun Fact 幾 ら places more emphasis on the 'amount' of something, while どんなに places more emphasis on the 'type', or 'style'. Due to this, いくら will be a better choice when the 'volume' of something is being highlighted, while どんなに will sound more natural when the 'state' is being discussed. Despite this small difference, いくら and どんなに are used fairly interchangeably in most situations.",N3
致す,いたす,,To do (Humble),"いたす , or 致 す as it is often written, is a humble speech う-Verb , which refers to the actions of the speaker (or people within the speakers inner circle, like their company). Similarly to お〜する , いたす means 'to do'. In the case of する verbs themselves, simply replace する with いたす . For other verbs, add いたす to the ます stem of the verb, while attaching お, or ご to the beginning (depending on whether it is a word of Japanese or Chinese origin). Caution Words that include the kanji 拝 'to worship', or 'to revere', do not usually require お, ご, or いたす . This is due to the word itself being 'respectful'. Fun Fact いたす is considered to be slightly more humble than お〜する , which means that it will be heard more frequently in advertisements, or being used by company employees.",N4
いつの間にか,いつの間にか,,"Suddenly, Unnoticed, Without noticing, Too soon","Although a combination of いつ 'when', の, 間 'interval', に, and か; いつの 間 にか is a set expression that is used as a stand-alone adverb to mean 'suddenly', or 'without noticing'. Literally, it just highlights an unknown interval within which something occurred, as seen by the question marking particle, か. Fun-fact Coming mainly from the inclusion か, this grammar pattern often carries the nuance of surprise. When you want to convey the same feeling without the nuance of surprise, あっという 間 に may be used instead. This is a similar expression which literally means 'in the time it takes to say あっ'.",N2
愈々,いよいよ,,"At last, Finally, More and more","愈々 , seen primarily in hiragana, is an adverb that indicates that (A) has or will 'finally happen'. In many cases this is after some state that has been continuing for a long time, or has been compounding further and further until (A). Like many other sentence altering adverbs, いよいよ will appear at the beginning of a phrase. It is also considered quite casual when compared to other grammar points like ついに. As いよいよ highlights something that is compounding, it can also frequently be translated as 'more and more'. The difference between the nuance of いよいよ being 'finally' or 'more and more' will usually be clear due to the statement following it being either conclusive (finally), or inconclusive (more and more).",N2
いらっしゃる,いらっしゃる,,"To be (Honorific), To come (Honorific), To go (Honorific)","いらっしゃる is another of the common honorific language expressions in Japanese. This means that it elevates the status of another person, in order to pay them respect. It will never be used when referring to the speaker themselves, or their own actions. いらっしゃる can be used to replace 居 る 'to be', 来 る 'to come', or 行 く 'to go'. This is due to the unique perspective that honorific language places the speaker in, in relation to the person that is being respected. This is a slightly advanced concept that we will discuss more later. To use いらっしゃる , simply replace いる , くる , or いく with いらっしゃる . Alternatively, いらっしゃる may also be used to replace いる , くる , or いく when they are attached to the て-form of another verb. Fun Fact おいでになる is another expression which can replace いる , くる , or いく. This was briefly examined previously in our お～になる grammar point. おいでになる and いらっしゃる are almost completely interchangable.",N4
いわゆる,いわゆる,,"What is called, So-called, Generally known","いわゆる , occasionally seen in its kanji form 所謂 , is a word that is used before nouns to indicate that something is 'what is called (A)', 'the so-called (A)', or 'generally known as (A)'. いわゆる is a combination of いわ, a modern variant of いは, the indeterminate form of 言 う 'to say', and ゆる, which is the classical literary equivalent of the auxiliary verb れる, the displacement verb indicator in its attributive form. In this way, the literal meaning of 'what is said to be (A)' is carried over into the English translations. Fun-fact The kanji for 謂 means 'oral tradition', and highlights the way that something is referred to over the course of different time periods, or in different places.",N2
く,い-Adj[く],,"Not... or anything, Not at all, Not, By no means, Definitely not, Nothing like that","When paired with the conjunctive form of い-Adjectives, く, もなんともない is often translated as 'not (A) or anything', or 'definitely not (A)'. This is a combination of the adverbial particle も and the adverb 何 ともない 'doesn't amount to anything'. なんともない is often grouped with other negative structures in order to show that the thing it is linked to is not a large amount or considerable extent. In many cases, 何 ともない illustrates that the extent of the thing that it follows is not sufficient to cause a problem. Because of this ～くもなんともない will often be used in sentences where (A) is something that could potentially be an issue, but the speaker is expressing that it has not reached that point, or does not go that far. Because of this, ～くもなんともない is frequently used with adjectives that describe sensations or emotions. Caution This structure is also commonly used with the auxiliary adjective たい, for showing that someone 'doesn't want to do (A)'.",N1
くなかった,い-Adjective,adj-na,"Was not, Wasn't (Adjective)","In order to create the negative past form of い-Adjectives , we will need to use the conjugation form. The conjugation form of an い-Adjective is simply created by removing the い, and replacing it with く. く is then followed by ない (conjugated into its past form なかった ), or あります (conjugated into its past negative form ありませんでした ). The polite negative (past) form requires use of the う - Verb , ある . This is not a unique rule for the negative past, but actually the correct way that all く-form conjugations of い-Adjectives should be constructed. However, in modern Japanese, it is not considered necessary. Instead, the semi-polite form is often used. The semi-polite form is constructed by using なかった , and then simply adding です .",N5
い-,い-Adjective,exp,Describing a noun,"In Japanese, almost any type of word can be attached to the beginning of a noun to modify the meaning, or describe the qualities of that noun. However, depending on the type of word used, conjugation rules will differ slightly. For い-Adjectives , they are simply attached to the front of the noun in their standard (dictionary) form. Caution When identifying what is an い-Adjective , and what is not, remember that an い-Adjective will always have the い outside of any kanji that are in the word. However, the reverse situation with な-Adjectives always having the い in the kanji is not true 100% of the time. 面白 い - The い is outside of the kanji, so 'interesting' is almost definitely an い-Adjective . 綺麗 - The い is inside of the kanji, so 'clean' is definitely not an い-Adjective . One example of an exception as mentioned above is 嫌 い. Despite the い being outside of the kanji, 'hate' is actually a な-Adjective . Don't worry though, less than 1% of any adjective that has い on the outside of the kanji will actually be a な-Adjective !",N5
い-,い-Adjective,adj-na,い-Adjective (Predicate),"A predicate is a word that describes the topic/subject of a sentence. The Japanese equivalent of this is a 述語 , which literally means 'statement word'. As a predicate , い-Adjectives can appear by themselves (when the word they are describing does not need to be stated), or they may be used at the end of a sentence. When there are no other words apart from the adjective itself, it comes across similar to 'It's cute', or 'It's hot', and similar expressions in English. We just have to guess what the 'it' is from context. In many sentences, either は or が could be used to mark the word/words that the predicate is describing. However, which one sounds more natural will depend on many factors. In general, if you are specifically pointing out something as being different from other things in the same category, が will be used. In this example, が is distinguishing this specific bath as having a unique level of hotness compared to others (maybe the water system is broken and only boiling water comes out). は would sound unnatural in this type of sentence, as it is not the 'normal' state of the bath. Fun Fact All い-Adjectives are words of Japanese origin.",N5
い-,い-Adjectives,adj-na,Adjectives ending in い,"In Japanese, い-Adjectives are known as 'form containing words', and are used to describe nouns. All い-Adjectives end in い in their base form. As mentioned, all い-Adjectives end in い in their base form. However, not all words ending in い are い-Adjectives . Let's take a look at some of the words that are commonly mistaken for い-Adjectives . In addition to きらい above, there is also きれい. きれい actually comes from the kanji structure 綺麗 , with い being part of the kanji itself. This is never the case with い-Adjectives , where the い will always be outside of the kanji. Due to the kanji for 綺麗 being somewhat difficult, this word is often written in hiragana or katakana, which leads to confusion for learners. Unfortunately there is no rule for distinguishing which words ending in い are not い-Adjectives , but thankfully, there are not very many of them, so it won't be long before you become familiar with them. Caution Unlike な-Adjectives , い-Adjectives must never be followed by だ . This is due to だ only being able to conjugate with nouns (which な-Adjectives originally are). Instead, です is used with い-Adjectives to make them sound more polite. Fun Fact Although using です with い-Adjectives is very common, it is actually incorrect Japanese. As です is simply a polite variation of だ , it follows all of the same conjugation rules as だ . This means that it should only be attached to nouns and な-Adjectives . However, as most Japanese natives do not know this rule, it is widely considered natural to use.",N5
内に,うちに,,"While, During","When うち, (sometimes seen using the kanji 内 , or 裡 ) is paired with the case marking particle に , it expresses a period/space 'within' which something else will/should happen/exist. It quite often (but not always) carries the nuance of (A) being the 'best', or the 'optimal' time/space within which (B) could occur/exist. In English, うちに can simply be translated as 'while', or 'during'. うちに may be paired with the dictionary or ている form of verbs, the plain form of い-Adjectives , nouns followed by の, or な-Adjectives that are followed by な. Unlike 間 に , うちに expresses something that can happen/exist anywhere 'within' the span of (A), and is therefore non-specific as to where (B) is located. Fun Fact The kanji 裡 refers literally to the inner walls/lining of something, and anything that is enclosed within that space. This can be thought of as where the 'non-specificity' of うち comes from, in regard to where within that space something is.",N3
う-,う-Verb,v-unspec,う - Verbs (Negative-past tense),"In order to make the negative past form of う-Verbs , you will need to change the last kana of the verb into the あ sound kana from the same column (or わ if the original kana was う). After this, the あ sound kana will be followed by ない (or ます), conjugated into their past forms. This will either be なかった (casual), or ませんでした (polite). For the ませんでした (polite) form, rather than the final kana changing to the あ sound kana from the same column, it will change to the い sound kana from the same column. The negative past form is used to convey that something 'did not happen', or 'was not'. A semi-polite form may also be used. This is constructed by using なかった , and then simply adding です . This form is not grammatically correct, but is so common that most sources (and native speakers) would consider it correct. ある is an exception to the regular conjugation rules of う-Verbs . The casual past-negative is not あらなかった, but simply なかった . However, the polite past-negative form conjugates in the same way as would be expected for う-Verbs. ありませんでした .",N5
う-,う-Verb,v-unspec,う - Verbs (Past tense),"To make the past form of a う-Verb in Japanese, just like all other conjugations of う-Verbs , you will need to change the last kana, before adding the auxiliary verb た (casual), or ました (polite). This change in kana is a bit different to other conjugations of う-Verbs , so let's take a look at them for the casual form. As can be seen in these examples, the changes consist of った, いた, いだ, んだ, した (the same as the changes for て form , but using た instead). For the conjugations using だ in place of た, this is simply a sound change in the language that happened over the course of history, to make words easier/smoother to say. It is not the auxiliary verb だ . For the polite past form of う-Verbs , the change in sound is far more consistent. This only requires a change from the う sound, to the い sound within the same column (from う to い, or from く to き, for example). When た is added to verbs (or any other word), it can have one of three possible meanings. Past: 過去 - Happened at some point in the past. (Did/Was) Completion: 完了 - An action that has finished 'happening'. (Done) Continuation: 存続 - A new state of something that is continuing. (Has been done) Caution With う-Verbs , there are a few verbs that are exceptions to the regular conjugation rules. Please check the structure guide for these.",N5
う-,う-Verb,v-unspec,う + ます (Godan Verbs),"う-Verbs include all of the verbs in Japanese that end in う sounds (including some of the verbs that end in る). These verbs are called Godan ( 五段 ) 'five-level' verbs in Japanese, due to their conjugations using all 5 of the different sounds in the same column ( 段 ) that their base form comes from. As we can see here, the く in 聞 く changes to き when conjugated to the polite form. All of the other sounds the K-column will be used with 聞 く, depending on the conjugation. This is the same for all of the う-Verbs. 聞 （か） ない, 聞 （き） たい , 聞 （く） , 聞 （け）る , 聞 （こ）う Here we can see the う-Verb 聞 く using all of the different K-column sounds in various conjugations. Caution Just like with る-Verbs , the base form of the verb may be called 'plain form', 'casual form', or 'short form', depending on the source/book.",N5
う-,う-Verb,v-unspec,Will/Does/Do (not),"The negative form of う-Verbs are conjugated based on the same set of rules used for other forms of う-Verb conjugation (changing the last kana, followed by the addition of something else). In the case of negation, the additional component will be ない (casual), or ません (polite). As can be seen here, the kana change differs depending on whether ない or ません is being used. If ない will be used, the last kana will always change from the kana ending with a う sound, to the kana ending with an あ sound within the same row. If ません will be used, the change will be from the う sound kana to the い sound kana. The only exception to this rule are verbs that end in the kana う. Instead of changing to あ (the あ sound kana in the same row), う will become わ, when used with ない . While the common translation of ない and ません is simply 'not', they actually have several possible nuances. These nuances are 'don't' (usually not), 'won't' (intentionally not), or 'can't' (unintentionally not). Both ない and ません are auxiliary verbs (ません is a conjugation of ます), meaning that they have their own set of conjugation rules. Caution The ない attached to make the negative form of adjectives is a different word, and therefore follows different conjugation rules. The ない attached to adjectives is an い-Adjective itself, and not an auxiliary verb .",N5
おおよそ,おおよそ,,"Approximately, Roughly, About","およそ or おおよそ, alternatively written as either 凡 そ or 大凡 is an adverb that commonly translates as 'approximately' or 'roughly' in English. It is primarily used in slightly more formal contexts, and can frequently be heard over announcements. As おおよそ is an adverb that is used in relation to time or distance more than anything else, it will usually be positioned at the beginning of sentences. Fun-fact The kanji 凡 itself has the meaning of 'commonplace' and may also be translated as 'as a rule'. This just indicates that (A) is something that largely applies, but is not the case 100% of the time.",N2
お陰で,おかげで,,"Thanks to, Because of","おかげで (or お 陰 で in kanji) is an expression that is used to show thanks or appreciation in Japanese. It is usually translated simply as 'thanks to (A)', or 'because of (A)'. おかげで is a combination of the polite prefix お, the noun 陰 'shade', and the case marking particle で. おかげで can be used after any word in its attributive form . Literally, お 陰 で means 'in the shade of (A)'. This implies that (B) was only made possible due to (A) creating the ideal situation for it to occur. Caution おかげで may sometimes be used sarcastically, in the same way as 'thanks to (A)' in English. In these sentences, it is usually quite clear from the context/tone of voice that the actual meaning is negative. Fun Fact おかげで is often used at the beginning of a sentence in the same way as 'thankfully' or 'luckily' in English. This just means that whatever comes after おかげで happened, despite negative outcomes also being possible.",N3
置きに,おきに,,"Repeated at intervals, Every other, Every, At intervals of","置 きに  is  a combination of 置 き, a suffix meaning 'opening' or 'interval', and the case marking particle に. Primarily written without kanji, it is an expression used to show that something happens 'every (A)', or 'at intervals of (A)'. The difference between something being interpreted as 'every', or 'at intervals of' can be tricky though, so we'll look at both. Due to おきに being a suffix , it will be attached to the end of numbers, counters, or any 'space' that it is highlighting as being an 'opening' or 'interval'. Looking at these sentences, we can see that the 'interval' is a bit difficult to understand even in English. However, the easier way to think of おきに in this sense is 'leaving a space of (A), (B)'. So if we say 'leaving a space of two days, (B)', it becomes a bit clearer that something is happening during the third day. Caution It is very common to get ごとに and おきに mixed up. The former literally means 'every'. However, the latter having the meaning of 'at intervals' makes things confusing. おきに itself will only mean 'every' sometimes. Let's look at some examples of when these two expressions overlap in meaning, and when they do not. Large time frames or distances - Only ごとに will be used to express 'every'. It makes sense to ask 'at what point' during a day, a week, or a month. Due to this, only おきに will mean 'after the interval of (A)', while ごとに means 'every'. Small time frames or distances - Both ごとに and おきに may be used to express 'every'. It doesn't make sense to care about 'at what point' during seconds, minutes, or hours. Here, because おきに points at the interval, it will mean 'every interval of one second' etc, because nobody is going to ask 'when did (B) happen during the next second', so the space is just assumed to be 'one second'. In summary, おきに will mean 'every (A)' for seconds, minutes, hours, millimeters, centimeters, and kilometers. But it will mean 'with spaces of' for almost anything bigger than that. This is not an exception to the rule, it is just a change of focus as spaces get larger. We can just remember that おきに always has one job. It highlights that (B) occurs after or outside of (A). While ごとに highlights (B) happening within (A). 一秒 おきに - The space is 'one second', so if おきに points to the beginning of the next second, the space is still only 'one second'. Because おきに doesn't care about where (B) happens within that next second, we assume straight away. 五年 おきに - The space is 'five years', so if おきに points to the beginning of the next year, the space becomes 'six years', because we are going to want to know where (B) happens within that next year. It would be strange to assume someone is waiting for New Year of the sixth year to do something instantly. Fun Fact This is a topic that native speakers frequently get wrong themselves, so don't worry if it takes a while to understand! If you are unsure about which one to use, think of 置 きに as 'leaving intervals of (A), (B)' for most purposes. 一時間 tends to be the upper limit of time that most people disagree about whether the meaning is 'every hour', or 'every second hour'. This makes sense, as the time frame is short, but still sort of long, so whether someone takes it as the beginning of the hour or some point during that hour being the important information, their opinions may differ. Remember though, おきに itself only ever points to the beginning of the space after (A), it doesn't care when/where (B) happens afterward.",N3
恐らく,おそらく,,"Probably, Perhaps, (Most) likely, (I) fear that","恐 らく is an adverb which originally stems from the conjugation of the yodan verb, 恐 る 'to fear'. In most cases, 恐 らく is simply used as a formal way to say 'probably', or 'perhaps', and is usually partnered with other structures of conjecture such as だろう, かもしれない, etc. As 恐 らく behaves adverbially, it will most often appear at the beginning of sentences before a statement of conjecture is made. Although 恐 らく can, and often does, carry the meaning of 'I fear that (A)', it isn't necessarily always used in relation to negative things. In the case of this particular grammar pattern, the main nuance that 'I fear that (A)' conveys is modesty on behalf of the speaker in that they fear their assumption may be right, given the available information. Fun-fact Yodan, or 四段活用 verbs are a type of classical-Japanese verb that have primarily been replaced by godan (う-Verbs) in modern day Japanese.",N2
